reference,forename,surname,gender,title,marital_status,birth_date,email,phone,address_line_1,address_line_2,address_line_3,postcode,country,employment_type,department,start_date,leaving_date,director,ni_number,ni_letter,ni_category,ni_calculation_basis,tax_code,week1_month1,pension_scheme,pension_contribution,bank_account_name,bank_sort_code,bank_account_number,bank_name,bank_branch,building_society_ref,autopay_ref,branch,cost_centre,run_group,default_cost_split,created_at,updated_at
EMP016,Alice,Wilson,F,Ms,S,1985-03-15,alice.wilson@company.com,07700 900016,123 Oak Street,Apartment 4B,London,SW1A 1AA,UK,Permanent,Marketing,2023-01-15,,N,AB123456C,A,A,Standard,1250L,Month1,Auto Enrolment (NEST),5.0,Alice Wilson,12-34-56,12345678,Bank of UK,London Branch,,EMP016,Main Office,CC001,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP017,David,Thompson,M,Mr,M,1988-07-22,david.thompson@company.com,07700 900017,456 Pine Avenue,Suite 8,Manchester,M1 1AA,UK,Permanent,Sales,2023-02-20,,N,CD234567D,B,B,Standard,1100L,Month1,Workplace Pension,3.0,David Thompson,23-45-67,23456789,HSBC,Manchester Branch,,EMP017,Main Office,CC002,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP018,Emma,Davis,F,Ms,S,1990-11-08,emma.davis@company.com,07700 900018,789 Elm Road,Flat 12,Birmingham,B1 1AA,UK,Permanent,Finance,2023-03-10,,N,EF345678E,C,C,Standard,1300L,Month1,Personal Pension (SIPP),4.0,Emma Davis,34-56-78,34567890,Barclays,Birmingham Branch,,EMP018,Main Office,CC003,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP019,James,Miller,M,Mr,M,1987-04-12,james.miller@company.com,07700 900019,321 Birch Lane,Unit 5,Leeds,LS1 1AA,UK,Permanent,IT,2023-04-05,,N,GH456789F,D,D,Standard,1250L,Month1,Group Personal Pension (GPP),6.0,James Miller,45-67-89,45678901,Lloyds,Leeds Branch,,EMP019,Main Office,CC004,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP020,Sophie,Anderson,F,Ms,S,1992-09-25,sophie.anderson@company.com,07700 900020,654 Cedar Street,Apartment 7C,Liverpool,L1 1AA,UK,Permanent,HR,2023-05-12,,N,IJ567890G,E,E,Standard,1100L,Month1,Occupational Pension Scheme,5.0,Sophie Anderson,56-78-90,56789012,Santander,Liverpool Branch,,EMP020,Main Office,CC005,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP021,Robert,Taylor,M,Mr,M,1986-12-03,robert.taylor@company.com,07700 900021,987 Maple Drive,Suite 15,Sheffield,S1 1AA,UK,Permanent,Operations,2023-06-08,,N,KL678901H,F,F,Standard,1300L,Month1,Stakeholder Pension,4.0,Robert Taylor,67-89-01,67890123,NatWest,Sheffield Branch,,EMP021,Main Office,CC006,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP022,Lisa,White,F,Ms,S,1991-06-18,lisa.white@company.com,07700 900022,147 Willow Way,Flat 9,Newcastle,NE1 1AA,UK,Permanent,Legal,2023-07-15,,N,MN789012I,G,G,Standard,1250L,Month1,Defined Benefit Pension,7.0,Lisa White,78-90-12,78901234,RBS,Newcastle Branch,,EMP022,Main Office,CC007,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP023,Michael,Harris,M,Mr,M,1989-01-30,michael.harris@company.com,07700 900023,258 Spruce Road,Unit 12,Bristol,BS1 1AA,UK,Permanent,Engineering,2023-08-22,,N,OP890123J,H,H,Standard,1100L,Month1,Defined Contribution Pension,5.0,Michael Harris,89-01-23,89012345,TSB,Bristol Branch,,EMP023,Main Office,CC008,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP024,Amanda,Clark,F,Ms,S,1993-08-14,amanda.clark@company.com,07700 900024,369 Ash Street,Apartment 3A,Cardiff,CF1 1AA,UK,Permanent,Research,2023-09-10,,N,QR901234K,I,I,Standard,1300L,Month1,Master Trust Pension,6.0,Amanda Clark,90-12-34,90123456,Co-op Bank,Cardiff Branch,,EMP024,Main Office,CC009,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP025,Christopher,Lewis,M,Mr,M,1988-05-07,christopher.lewis@company.com,07700 900025,741 Oak Avenue,Suite 20,Edinburgh,EH1 1AA,UK,Permanent,Strategy,2023-10-05,,N,ST012345L,J,J,Standard,1250L,Month1,Contract-Based Pension,4.0,Christopher Lewis,01-23-45,01234567,Clydesdale,Edinburgh Branch,,EMP025,Main Office,CC010,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP026,Jennifer,Hall,F,Ms,S,1990-12-21,jennifer.hall@company.com,07700 900026,852 Pine Lane,Flat 6B,Glasgow,G1 1AA,UK,Permanent,Communications,2023-11-12,,N,UV123456M,K,K,Standard,1100L,Month1,Trust-Based Pension,5.0,Jennifer Hall,12-34-56,12345678,Bank of Scotland,Glasgow Branch,,EMP026,Main Office,CC011,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP027,Daniel,Young,M,Mr,M,1987-03-09,daniel.young@company.com,07700 900027,963 Elm Drive,Unit 8,Aberdeen,AB1 1AA,UK,Permanent,Quality,2023-12-03,,N,WX234567N,L,L,Standard,1300L,Month1,Executive Pension Plan,6.0,Daniel Young,23-45-67,23456789,Royal Bank of Scotland,Aberdeen Branch,,EMP027,Main Office,CC012,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP028,Rachel,King,F,Ms,S,1992-07-16,rachel.king@company.com,07700 900028,174 Cedar Way,Apartment 11C,Dundee,DD1 1AA,UK,Permanent,Training,2024-01-15,,N,YZ345678O,M,M,Standard,1250L,Month1,Small Self-Administered Scheme (SSAS),7.0,Rachel King,34-56-78,34567890,Virgin Money,Dundee Branch,,EMP028,Main Office,CC013,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP029,Thomas,Scott,M,Mr,M,1986-10-28,thomas.scott@company.com,07700 900029,285 Maple Street,Suite 14,Inverness,IV1 1AA,UK,Permanent,Compliance,2024-02-08,,N,AB456789P,N,N,Standard,1100L,Month1,Self-Invested Personal Pension (SIPP),5.0,Thomas Scott,45-67-89,45678901,Metro Bank,Inverness Branch,,EMP029,Main Office,CC014,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP030,Sarah,Green,F,Ms,S,1991-04-05,sarah.green@company.com,07700 900030,396 Willow Road,Flat 4D,Perth,PH1 1AA,UK,Permanent,Audit,2024-03-12,,N,CD567890Q,O,O,Standard,1300L,Month1,No Pension Scheme,0.0,Sarah Green,56-78-90,56789012,Shawbrook Bank,Perth Branch,,EMP030,Main Office,CC015,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP031,Andrew,Baker,M,Mr,M,1989-11-19,andrew.baker@company.com,07700 900031,417 Spruce Lane,Unit 9,Stirling,FK1 1AA,UK,Permanent,Procurement,2024-04-20,,N,EF678901R,P,P,Standard,1250L,Month1,Auto Enrolment (NEST),5.0,Andrew Baker,67-89-01,67890123,Paragon Bank,Stirling Branch,,EMP031,Main Office,CC016,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP032,Victoria,Adams,F,Ms,S,1993-02-14,victoria.adams@company.com,07700 900032,528 Ash Drive,Apartment 2E,Falkirk,FK2 1AA,UK,Permanent,Facilities,2024-05-07,,N,GH789012S,Q,Q,Standard,1100L,Month1,Workplace Pension,3.0,Victoria Adams,78-90-12,78901234,Leeds Building Society,Falkirk Branch,,EMP032,Main Office,CC017,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP033,Mark,Roberts,M,Mr,M,1988-08-31,mark.roberts@company.com,07700 900033,639 Oak Way,Suite 16,Dunfermline,KY1 1AA,UK,Permanent,Security,2024-06-14,,N,IJ890123T,R,R,Standard,1300L,Month1,Personal Pension (SIPP),4.0,Mark Roberts,89-01-23,89012345,Nationwide Building Society,Dunfermline Branch,,EMP033,Main Office,CC018,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP034,Helen,Turner,F,Ms,S,1990-06-12,helen.turner@company.com,07700 900034,741 Pine Street,Flat 7F,Kirkcaldy,KY2 1AA,UK,Permanent,Health,2024-07-22,,N,KL901234U,S,S,Standard,1250L,Month1,Group Personal Pension (GPP),6.0,Helen Turner,90-12-34,90123456,Yorkshire Building Society,Kirkcaldy Branch,,EMP034,Main Office,CC019,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP035,Paul,Phillips,M,Mr,M,1987-01-25,paul.phillips@company.com,07700 900035,852 Elm Road,Unit 13,Glenrothes,KY3 1AA,UK,Permanent,Safety,2024-08-05,,N,MN012345V,T,T,Standard,1100L,Month1,Occupational Pension Scheme,5.0,Paul Phillips,01-23-45,01234567,Coventry Building Society,Glenrothes Branch,,EMP035,Main Office,CC020,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP036,Emma,Campbell,F,Ms,S,1992-09-08,emma.campbell@company.com,07700 900036,963 Cedar Lane,Apartment 5G,Cowdenbeath,KY4 1AA,UK,Permanent,Environment,2024-09-18,,N,OP123456W,U,U,Standard,1300L,Month1,Stakeholder Pension,4.0,Emma Campbell,12-34-56,12345678,Skipton Building Society,Cowdenbeath Branch,,EMP036,Main Office,CC021,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP037,James,Mitchell,M,Mr,M,1989-04-17,james.mitchell@company.com,07700 900037,174 Maple Drive,Suite 21,Lochgelly,KY5 1AA,UK,Permanent,Transport,2024-10-12,,N,QR234567X,V,V,Standard,1250L,Month1,Defined Benefit Pension,7.0,James Mitchell,23-45-67,23456789,Principality Building Society,Lochgelly Branch,,EMP037,Main Office,CC022,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
EMP038,Sophie,Reid,F,Ms,S,1991-12-03,sophie.reid@company.com,07700 900038,285 Willow Way,Flat 8H,Ballinluig,PH9 1AA,UK,Permanent,Logistics,2024-11-25,,N,ST345678Y,W,W,Standard,1100L,Month1,Defined Contribution Pension,5.0,Sophie Reid,34-56-78,34567890,Monmouthshire Building Society,Ballinluig Branch,,EMP038,Main Office,CC023,RG001,100.0,2025-01-27 10:00:00,2025-01-27 10:00:00
